Latitud,Longitud,
19.56683,-98.34002,TRAZADO_23_06_15__PREDIOS
19.56856,-98.33939,TRAZADO_23_06_15__PREDIOS
19.56876,-98.34103,TRAZADO_23_06_15__PREDIOS
19.54648,-98.32396,TRAZADO_23_06_15__PREDIOS
19.20842,-98.31072,TRAZADO_23_06_15__PREDIOS
19.21237,-98.30853,TRAZADO_23_06_15__PREDIOS
19.21776,-98.30727,TRAZADO_23_06_15__PREDIOS
19.21697,-98.30603,TRAZADO_23_06_15__PREDIOS
19.21775,-98.30603,TRAZADO_23_06_15__PREDIOS
19.21802,-98.30509,TRAZADO_23_06_15__PREDIOS
19.21874,-98.30519,TRAZADO_23_06_15__PREDIOS
19.21951,-98.30518,TRAZADO_23_06_15__PREDIOS
19.22142,-98.30607,TRAZADO_23_06_15__PREDIOS
19.22132,-98.30389,TRAZADO_23_06_15__PREDIOS
19.22177,-98.30393,TRAZADO_23_06_15__PREDIOS
19.22224,-98.30399,TRAZADO_23_06_15__PREDIOS
19.22256,-98.30379,TRAZADO_23_06_15__PREDIOS
19.22293,-98.30374,TRAZADO_23_06_15__PREDIOS
19.22327,-98.30371,TRAZADO_23_06_15__PREDIOS
19.22363,-98.30371,TRAZADO_23_06_15__PREDIOS
19.22407,-98.30515,TRAZADO_23_06_15__PREDIOS
19.22445,-98.30503,TRAZADO_23_06_15__PREDIOS
19.22478,-98.30496,TRAZADO_23_06_15__PREDIOS
19.22507,-98.30495,TRAZADO_23_06_15__PREDIOS
19.22542,-98.30498,TRAZADO_23_06_15__PREDIOS
19.22575,-98.30496,TRAZADO_23_06_15__PREDIOS
19.22605,-98.30502,TRAZADO_23_06_15__PREDIOS
19.22636,-98.30499,TRAZADO_23_06_15__PREDIOS
19.2267,-98.305,TRAZADO_23_06_15__PREDIOS
